,Title,Rating,votings,Duration,voting_counts
420,444. Cannibal Women in the Avocado Jungle of Death,4.8, (49),1h 30m, (3.6K)
421,445. Dance Flick,3.6, (49),1h 23m, (13K)
422,446. The Sleepover,5.7, (49),1h 40m, (13K)
423,447. The Debt Collector,5.9, (49),1h 35m, (9.4K)
424,448. The Trip,6.9, (49),1h 53m, (29K)
425,449. Spy Kids: Armageddon,4.3, (49),1h 37m, (3.9K)
426,450. Guyver,4.9, (49),1h 28m, (6.5K)
427,451. The Invisible Boy,6.2, (49),1h 40m, (4.5K)
428,452. Ski Patrol,5.1, (49),1h 31m, (4.3K)
429,453. Thunder Force,4.6, (49),1h 46m, (47K)
430,454. Polite Society,6.6, (49),1h 44m, (12K)
431,455. Sidekicks,5.2, (49),1h 41m, (10K)
432,456. Robinhood,5.1, (49),2h 30m, (108)
433,457. Stuber,6.2, (49),1h 33m, (53K)
434,458. Yoga Hosers,4.3, (49),1h 28m, (16K)
435,459. Hooper,6.4, (49),1h 39m, (8.3K)
436,461. 3 Ninjas Kick Back,4.6, (49),1h 33m, (10K)
437,463. Cherry 2000,5.6, (49),1h 39m, (11K)
438,464. PAW Patrol: The Movie,6.1, (49),1h 26m, (9K)
