Title,Rating,votings,Duration,voting_counts
443. Monster Trucks,5.7,49,1h 44m,20000.0
444. Cannibal Women in the Avocado Jungle of Death,4.8,49,1h 30m,3600.0
445. Dance Flick,3.6,49,1h 23m,13000.0
446. The Sleepover,5.7,49,1h 40m,13000.0
447. The Debt Collector,5.9,49,1h 35m,9400.0
448. The Trip,6.9,49,1h 53m,29000.0
449. Spy Kids: Armageddon,4.3,49,1h 37m,3900.0
450. Guyver,4.9,49,1h 28m,6500.0
451. The Invisible Boy,6.2,49,1h 40m,4500.0
452. Ski Patrol,5.1,49,1h 31m,4300.0
453. Thunder Force,4.6,49,1h 46m,47000.0
454. Polite Society,6.6,49,1h 44m,12000.0
455. Sidekicks,5.2,49,1h 41m,10000.0
456. Robinhood,5.1,49,2h 30m,108.0
457. Stuber,6.2,49,1h 33m,53000.0
458. Yoga Hosers,4.3,49,1h 28m,16000.0
459. Hooper,6.4,49,1h 39m,8300.0
461. 3 Ninjas Kick Back,4.6,49,1h 33m,10000.0
463. Cherry 2000,5.6,49,1h 39m,11000.0
464. PAW Patrol: The Movie,6.1,49,1h 26m,9000.0
465. Teenage Mutant Ninja Turtles III,4.8,49,1h 36m,37000.0
467. Hollywood Homicide,5.3,49,1h 56m,40000.0
468. City Hunter,6.3,49,1h 42m,5500.0
470. Spy x Family Code: White,7.3,49,1h 50m,6700.0
471. Drunken Master,7.4,49,1h 51m,46000.0
472. I Spy,5.4,49,1h 37m,54000.0
473. Kangaroo Jack,4.5,49,1h 29m,35000.0
474. D.E.B.S.,5.4,49,1h 31m,19000.0
475. The Marine,4.8,49,1h 32m,37000.0
476. Jackass: The Movie,6.6,49,1h 25m,104000.0
477. Die Hart,5.2,49,1h 24m,6300.0
478. Officer Black Belt,6.8,49,1h 48m,8000.0
479. Ride Along 2,5.9,49,1h 42m,65000.0
480. Stakeout,6.7,49,1h 57m,29000.0
481. Hell Comes to Frogtown,5.5,49,1h 26m,7800.0
482. Money Train,5.7,49,1h 50m,44000.0
483. After the Sunset,6.2,49,1h 37m,51000.0
484. From Prada to Nada,5.5,49,1h 47m,16000.0
485. Stroker Ace,4.9,49,1h 36m,4500.0
486. Cats & Dogs,5.2,49,1h 27m,64000.0
487. The Jewel of the Nile,6.1,49,1h 46m,64000.0
489. Foodfight!,1.3,49,1h 31m,12000.0
490. Bloodsucking Bastards,5.7,49,1h 26m,7200.0
491. Rumble in the Bronx,6.8,49,1h 27m,47000.0
492. Wrongfully Accused,6.1,49,1h 27m,30000.0
493. The Tiger's Apprentice,5.7,49,1h 24m,2100.0
494. American Carnage,4.9,49,1h 41m,5100.0
495. Snatched,4.7,49,1h 30m,38000.0
496. Assassination Nation,6.0,49,1h 48m,23000.0
497. A Low Down Dirty Shame,5.9,49,1h 40m,8000.0
498. Men at Work,5.9,49,1h 38m,28000.0
499. Teen Titans GO! To the Movies,6.7,49,1h 24m,23000.0
500. Gangs of Wasseypur,8.2,49,5h 21m,107000.0
